Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
VN07S101;CICLO- ASPIRACION EYECTOR DE VAPOR SIST. REFR;3 CA;13;D;380V -3CA -13D;HA23;Diazed DII E27 - X3;Termica Unipolar;
SC03S101;TURBINA- RECIRCULACION DE ACEITE AL TQ PPAL;3 CA;13;E;380V -3CA -13E;HA18;Diazed DII E27 - X3;Termica Unipolar;
;;3 CA;13;F;380V -3CA -13F;;Diazed DII E27 - X3;Termica Unipolar;
;;3 CA;13;G;380V -3CA -13G;;Diazed DII E27 - X3;Termica Unipolar;
;;3 CA;13;H;380V -3CA -13H;;Diazed DII E27 - X3;Termica Unipolar;
;;3 CA;13;J;380V -3CA -13J;;;;Termica Bipolar
;;3 CA;13;K;380V -3CA -13K;;;;Termica Bipolar
VF01M101;REFRIGERACION- BOMBA REFRIG AUXILIAR;3 CA;14;B;380V -3CA -14B;HA26;Secc. - PH1;Termica Unipolar C4;Rele Termico - Elektropristroj
SU10M101;TURBINA- EYECTOR DE SISTEMA ACEITE H2;3 CA;14;C;380V -3CA -14C;;Secc. - NH00 - 50A;Termica Unipolar C4;Rele Termico - Elektropristroj
VF01S101;REFRIGERACION- DESC BOMBA REFRIG AUXILIAR;3 CA;14;E;380V -3CA -14E;HA26;Secc-NH000-20A FU1->T. Tripolar C10;Termica Unipolar C4;Rele Termico - Elektropristroj
VG13S101;REFRIGERACION- SALIDA DESDE ENFR. AGUA-AGUA;3 CA;15;A;380V -3CA -15A;HA26;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
VG12S101;REFRIGERACION- SALIDA DESDE ENFR AGUA-AGUA;3 CA;15;B;380V -3CA -15B;HA26;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
VG09S101;REFRIGERACION- ENTRADA A ENFR. AGUA-AGUA;3 CA;15;C;380V -3CA -15C;HA26;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
VG08S101;REFRIGERACION- ENTRADA A ENFR. AGUA-AGUA;3 CA;15;D;380V -3CA -15D;HA26;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RP03S101;CICLO- COND DE LOS C.A.P 1Y2  AL CONDENSADOR ;3 CA;15;E;380V -3CA -15E;HA16;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RN22S101;CICLO- COND DEL C.B.P N°3  AL CONDENSADOR ;3 CA;15;G;380V -3CA -15G;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RN32S101;CICLO- COND DEL C.B.P N°4 AL CONDENSADOR ;3 CA;15;H;380V -3CA -15H;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
